Generic Name,Trade Name,Date Designated,Orphan Designation,Orphan Designation Status,FDA Orphan Approval Status,Approved Labeled Indication,Marketing Approval Date,Exclusivity End Date,"Exclusivity Protected Indication * (Shown for approvals from Jan. 1, 2013, to the present)",Sponsor Company,Sponsor Address 1,Sponsor Address 2,Sponsor City,Sponsor State,Sponsor Zip,Sponsor Country,CF Grid Key
sargramostim,Leukine,5/03/90,"Treatment of neutropenia associated with bone marrow transplant, for the treatment of graft failure and delay of engraftment, and for the promotion of early engraftment.",Designated/Approved,,,3/05/91,3/05/98,,Immunex Corporation,51 University Street,,Seattle,Washington,98101,United States,44290
satralizumab-mwge,ENSPRYNG,06/30/2014,Treatment of neuromyelitis optica and neuromyelitis optica spectrum disorder,Designated/Approved,,treatment of neuromyelitis optica spectrum disorder (NMOSD) in adult patients who are anti-aquaporin-4 (AQP4) antibody positive,08/14/2020,08/14/2027,treatment of neuromyelitis optica spectrum disorder (NMOSD) in adult patients who are anti-aquaporin-4 (AQP4) antibody positive,"GENENTECH, INC.",1 DNA WAY,,SOUTH SAN FRANCISCO,California,94080,United States,436114
Satumomab pendetide,Oncoscint CR/OV,09/25/1989,Detection of ovarian carcinoma.,Designated/Approved,,For determining the extent and location of extraphepatic malignant disease in patients with known colorectal and ovarian cancer.,12/29/1992,12/29/1999,,Cytogen Corporation,600 College Road East,,Princeton,New Jersey,8540,United States,36789
sebelipase alfa,Kanuma,7/01/10,Treatment of lysosomal acid lipase deficiency,Designated/Approved,,Indicated for the treatment of patients with a diagnosis of Lysosomal Acid Lipase (LAL) deficiency,12/08/15,12/08/22,Indicated for the treatment of patients with a diagnosis of Lysosomal Acid Lipase (LAL) deficiency,Alexion Pharmaceuticals,100 College Street,,New Haven,Connecticut,6510,United States,309410
Selegiline HCl,Eldepryl,11/07/84,"As an adjuvant to levodopa and carbidopa treatment of idiopathic Parkinson's disease (paralysis agitans), postencephalitic Parkinsonism, and symptomatic Parkinsonism.",Designated/Approved,,,6/05/89,6/05/96,,"Somerset Pharmaceuticals, Inc.","400 Morris Ave., Suite 7s",,Denville,New Jersey,7834,United States,583
selexipag,Uptravi,04/30/2010,Treatment of pulmonary arterial hypertension,Designated/Approved,,"Treatment of pulmonary arterial hypertension (PAH, WHO Group I) to delay disease progression and reduce the risk of hospitalization for PAH",07/29/2021,,,Actelion Pharmaceuticals Ltd,Gewerbestrasse 16,,Allschwil,,,Switzerland,304810
selexipag,Uptravi,04/30/2010,Treatment of pulmonary arterial hypertension,Designated/Approved,,"For treatment of pulmonary arterial hypertension (PAH, WHO Group I) to delay disease progression and reduce the risk of hospitalization for PAH",12/21/2015,12/21/2022,"For treatment of pulmonary arterial hypertension (PAH, WHO Group I) to delay disease progression and reduce the risk of hospitalization for PAH",Actelion Pharmaceuticals Ltd,Gewerbestrasse 16,,Allschwil,,,Switzerland,304810
selinexor,XPOVIO,1/05/15,Treatment of multiple myeloma,Designated/Approved,,"XPOVIO is indicated in combination with dexamethasone for the treatment of adult patients with relapsed or refractory multiple myeloma (RRMM) who have received at least four prior therapies and whose disease is refractory to at least two proteasome inhibitors, at least two immunomodulatory agents, and an anti-CD38 monoclonal antibody.",7/03/19,7/03/26,"Indicated in combination with dexamethasone for the treatment of adult patients with relapsed or refractory multiple myeloma (RRMM) who have received at least four prior therapies and whose disease is refractory to at least two proteasome inhibitors, at least two immunomodulatory agents, and an anti-CD38 monoclonal antibody.","Karyopharm Therapeutics, Inc.","85 Wells Avenue, Suite 210",,Newton,Massachusetts,2459,United States,459014
selinexor,Xpovio,05/14/2014,Treatment of diffuse large B-cell lymphoma,Designated/Approved,,"XPOVIO is indicated for the treatment of adult patients with relapsed or refractory diffuse large B-cell lymphoma (DLBCL), not otherwise specified, including DLBCL arising from follicular lymphoma, after at least 2 lines of systemic therapy.",06/22/2020,06/22/2027,"For the treatment of adult patients with relapsed or refractory diffuse large B-cell lymphoma (DLBCL), not otherwise specified, including DLBCL arising from follicular lymphoma, after at least 2 lines of systemic therapy","Karyopharm Therapeutics, Inc.",2 Mercer Road,,Natick,Massachusetts,1760,United States,436414
selinexor,Xpovio,1/05/15,Treatment of multiple myeloma,Designated/Approved,,in combination with bortezomib and dexamethasone for the treatment of adult patients with multiple myeloma who have received at least one prior therapy,12/18/2020,12/18/2027,"for the treatment of adult patients with multiple myeloma who have received at least one prior therapy, excluding adult patients covered by Xpovio's previous indication for multiple myeloma approved on July 3, 2019","Karyopharm Therapeutics, Inc.","85 Wells Avenue, Suite 210",,Newton,Massachusetts,2459,United States,459014
selpercatinib,RETEVMO,11/21/2019,"Treatment of RET fusion-positive or RET mutant thyroid cancers including poorly differentiated thyroid cancer, undifferentiated or anaplastic thyroid cancer, medullary thyroid cancer, and locally advanced or metastatic follicular or papillary thyroid canc",Designated/Approved,,RETEVMO is indicated for the treatment of: Adult and pediatric patients 12 years of age and older with advanced or metastatic RET-mutant medullary thyroid cancer (MTC) who require systemic therapy; Adult and pediatric patients 12 years of age and older with advanced or metastatic RET fusion-positive thyroid cancer who require systemic therapy and who are radioactive iodine-refractory (if radioactive iodine is appropriate),5/08/20,5/08/27,"For the treatment of: adult and pediatric patients 12 years of age and older with advanced or metastatic RET-mutant medullary thyroid cancer (MTC) who require systemic therapy; and, adult and pediatric patients 12 years of age and older with advanced or metastatic RET fusion-positive thyroid cancer who require systemic therapy and who are radioactive iodine-refractory (if radioactive iodine is appropriate).",Loxo Oncolocy at Lilly,"701 Gateway Boulevard, Suite 420",,South San Francisco,California,94080,United States,653118
selpercatinib,RETEVMO,10/30/2019,Treatment of RET-fusion-positive non-small cell lung cancer,Designated/Approved,,RETEVMO is indicated for the treatment of adult patients with metastatic RET fusion-positive non-small cell lung cancer (NSCLC),5/08/20,5/08/27,For the treatment of adult patients with metastatic RET fusion-positive non-small cell lung cancer (NSCLC),Loxo Oncolocy at Lilly,"701 Gateway Boulevard, Suite 420",,South San Francisco,California,94080,United States,675218
selumetinib,,02/14/2018,Treatment of Neurofibromatosis Type 1,Designated/Approved,,"KOSELUGO is indicated for the treatment of pediatric patients 2 years of age and older with neurofibromatosis type 1 (NF1) who have symptomatic, inoperable plexiform neurofibromas (PN)",4/10/20,4/10/27,"Indicated for the treatment of pediatric patients 2 years of age and older with neurofibromatosis type 1 (NF1) who have symptomatic, inoperable plexiform neurofibromas (PN).",AstraZeneca Pharmaceuticals LP,1800 Concord Pike,,Wilmington,Delaware,19803,United States,624017
Sermorelin acetate,Geref,09/14/1988,Treatment of idiopathic or organic growth hormone deficiency in children with growth failure.,Designated/Approved,,,09/26/1997,09/26/2004,,"EMD Serono, Inc.",One Technology Place,,Rockland,Massachusetts,2370,United States,24687
setmelanotide,Imcivree,4/04/16,Treatment of pro-opiomelanocortin (POMC) deficiency due to mutations in the POMC gene,Designated/Approved,,"chronic weight management in adult and pediatric patients 6 years of age and older with obesity due to proopiomelanocortin (POMC), proprotein convertase subtilisin/kexin type 1 (PCSK1), or leptin receptor (LEPR) deficiency confirmed by genetic testing demonstrating variants in POMC, PCSK1, or LEPR genes that are interpreted as pathogenic, likely pathogenic, or of uncertain significance (VUS).",11/25/2020,11/25/2027,"chronic weight management in adult and pediatric patients 6 years of age and older with obesity due to proopiomelanocortin (POMC), proprotein convertase subtilisin/kexin type 1 (PCSK1), or leptin receptor (LEPR) deficiency confirmed by genetic testing demonstrating variants in POMC, PCSK1, or LEPR genes that are interpreted as pathogenic, likely pathogenic, or of uncertain significance (VUS).","Rhythm Pharmaceuticals, Inc.",222 Berkeley St. Suite 1200,,Boston,Massachusetts,2116,United States,514815
setmelanotide,Imcivree,11/27/2017,Treatment of leptin receptor deficiency,Designated/Approved,,"Chronic weight management in adult and pediatric patients 6 years of age and older with obesity due to proopiomelanocortin (POMC), proprotein convertase subtilisin/kexin type 1 (PCSK1), or leptin receptor (LEPR) deficiency confirmed by genetic testing demonstrating variants in POMC, PCSK1, or LEPR genes that are interpreted as pathogenic, likely pathogenic, or of uncertain significance (VUS).",11/25/2020,11/25/2027,"Chronic weight management in adult and pediatric patients 6 years of age and older with obesity due to proopiomelanocortin (POMC), proprotein convertase subtilisin/kexin type 1 (PCSK1), or leptin receptor (LEPR) deficiency confirmed by genetic testing demonstrating variants in POMC, PCSK1, or LEPR genes that are interpreted as pathogenic, likely pathogenic, or of uncertain significance (VUS).","Rhythm Pharmaceuticals, Inc.",222 Berkeley St. Suite 1200,,Boston,Massachusetts,2116,United States,613717
siltuximab,SYLVANT,05/26/2006,Treatment of Castleman's disease,Designated/Approved,,Treatment of patients with multicentric Castleman's disease (MCD) who are human immunodeficiency virus (HIV) negative and human herpesvirus-8 (HHV-8) negative.,04/23/2014,04/23/2021,Treatment of patients with multicentric Castleman's disease (MCD) who are human immunodeficiency virus (HIV) negative and human herpesvirus-8 (HHV-8) negative.,EUSA Pharma (UK) Ltd.,Breakspear Park,Breakspear Way,Hertfordshire,,,United Kingdom,200605
sirolimus,Rapamune,10/31/2012,Treatment of lymphangioleiomyomatosis,Designated/Approved,,Treatment of lymphangioleiomyomatosis (LAM),05/28/2015,05/28/2022,Treatment of lymphangioleiomyomatosis (LAM),"Pfizer, Inc.",500 Arcola Road,,Collegeville,Pennsylvania,19426,United States,379312
sirolimus,Hyftor,05/17/2017,Treatment of angiofibroma associated with tuberous sclerosis,Designated/Approved,,treatment of facial angiofibroma associated with tuberous sclerosis in adults and pediatric patients 6 years of age and older,03/22/2022,,,"NobelPharma Co., LTD",12-10 Nihonbashi-kobunacho,,Chuo-ku,Tokyo-to,,Japan,568416
sirolimus protein-bound particles for injectable suspension (albumin-bound),Fyarro,12/21/2017,Treatment of perivascular epithelioid cell tumors (PEComa),Designated/Approved,,treatment of adult patients with locally advanced unresectable or metastatic malignant perivascular epithelioid cell tumor (PEComa),11/22/2021,,,"Aadi Bioscience, Inc.","17383 Sunset Blvd, A250",,Pacific Palisades,California,90272,United States,616217
sodium nitrite and sodium thiosulfate,Nithiodote,4/09/08,Treatment of known or suspected cyanide poisoning,Designated/Approved,,For sequential use for the treatment of cyanide poisoning that is judged to be life-threatening,01/14/2011,01/14/2018,,Hope Pharmaceuticals,16416 North 92nd Street,Suite 125,Scottsdale,Arizona,85260,United States,244207
sodium oxybate,Xyrem,11/07/94,Treatment of narcolepsy.,Designated/Approved,,Treatment of cataplexy associated with narcolepsy,07/17/2002,07/17/2009,,Jazz Pharmaceuticals Ireland Limited,5th Floor Waterloo Exchange,Waterloo Road,Dublin 4,,D04 E5W7,Ireland,85894
sodium oxybate,Xyrem,11/07/94,Treatment of narcolepsy.,Designated/Approved,,Treatment of excessive daytime sleepiness in patients with narcolepsy,11/18/2005,11/18/2012,,Jazz Pharmaceuticals Ireland Limited,5th Floor Waterloo Exchange,Waterloo Road,Dublin 4,,D04 E5W7,Ireland,85894
sodium oxybate,Xyrem,11/07/94,Treatment of narcolepsy.,Designated/Approved,,Xyrem is indicated for the treatment of cataplexy or excessive daytime sleepiness (EDS) in patients 7 years of age and older with narcolepsy.,10/26/2018,10/26/2025,Xyrem is indicated for the treatment of cataplexy or excessive daytime sleepiness (EDS) in pediatric patients 7 years of age and older with narcolepsy.,Jazz Pharmaceuticals Ireland Limited,5th Floor Waterloo Exchange,Waterloo Road,Dublin 4,,D04 E5W7,Ireland,85894
sodium phenylbutyrate,Buphenyl,11/22/1993,"Treatment of urea cycle disorders: carbamylphosphate synthetase deficiency, ornithine transcarbamylase deficiency, and arginiosuccinic acid synthetase deficiency.",Designated/Approved,,"Adjunctive therapy in the chronic managment of patients with urea cycle disorders involving deficiencies of carbamylphosphate synthetase, ornithine transcarbamylase, or argininosuccinic acid synthetase.",04/30/1996,04/30/2003,,Medicis Pharmaceutical Corp.,8125 N. Hayden Road,,Scottsdale,Alaska,85258,United States,77893
"sodium sulfate, potassium sulfate, and magnesium sulfate",SUPREP Bowel Prep Kit,10/31/2012,For cleansing of the colon in preparation for colonoscopic diagnosis of colonic disease in children and adolescents,Designated/Approved,,for cleansing of the colon as a preparation for colonoscopy in adult and pediatric patients 12 years of age and older,8/05/20,8/05/27,for cleansing of the colon as a preparation for colonoscopy in pediatric patients 12 years of age and older.,"Braintree Laboratories, Inc.",60 Columbian Street West,PO Box 850929,Braintree,Massachusetts,2185,United States,379212
sofosbuvir,Sovaldi,10/25/2016,Treatment of pediatric chronic hepatitis C virus infection,Designated/Approved,,Treatment of chronic HCV genotype 2 or 3 infection in pediatric patients 12 years of age and older or weighing at least 35 kg without cirrhosis or with compensated cirrhosis for use in combination with ribavirin,4/07/17,4/07/24,Treatment of chronic HCV genotype 2 or 3 infection in pediatric patients 12 years of age and older or weighing at least 35 kg without cirrhosis or with compensated cirrhosis for use in combination with ribavirin,"Gilead Sciences, Inc.",333 Lakeside Drive,,Foster City,California,94404,United States,541716
sofosbuvir,Sovaldi,10/25/2016,Treatment of pediatric chronic hepatitis C virus infection,Designated/Approved,,SOVALDI is indicated for the treatment of chronic HCV genotype 2 or 3 infection in pediatric patients 3 years of age and older without cirrhosis or with compensated cirrhosis for use in combination with ribavirin,08/28/2019,08/28/2026,For the treatment of chronic hepatitis C virus (HCV) genotype 2 or 3 infection in pediatric patients between 3 years of age and 12 years of age or weighing 35 kg without cirrhosis or with compensated cirrhosis for use in combination with ribavirin.,"Gilead Sciences, Inc.",333 Lakeside Drive,,Foster City,California,94404,United States,541716
sofosbuvir,Sovaldi,10/25/2016,Treatment of pediatric chronic hepatitis C virus infection,Designated/Approved,,SOVALDI is indicated for the treatment of chronic HCV genotype 2 or 3 infection in pediatric patients 3 years of age and older without cirrhosis or with compensated cirrhosis for use in combination with ribavirin,08/28/2019,,,"Gilead Sciences, Inc.",333 Lakeside Drive,,Foster City,California,94404,United States,541716
sofosbuvir and velpatasvir,Epclusa,02/22/2017,Treatment of pediatric patients with chronic hepatitis C virus infection,Designated/Approved,,"treatment of adults and pediatric patients 3 years of age and older with chronic hepatitis C virus (HCV) genotype 1, 2, 3, 4, 5, or 6 infection without cirrhosis or with compensated cirrhosis, or with decompensated cirrhosis for use in combination with ribavirin",6/10/21,6/10/28,"treatment of pediatric patients 3 years of age to less than 6 years of age weighing less than 17 kg with chronic hepatitis C virus (HCV) genotype 1, 2, 3, 4, 5, or 6 infection: without cirrhosis or with compensated cirrhosis; or with decompensated cirrhosis for use in combination with ribavirin","Gilead Sciences, Inc.",333 Lakeside Drive,,Foster City,California,94404,United States,554816
sofosbuvir/velpatasvir,Epclusa,02/22/2017,Treatment of pediatric patients with chronic hepatitis C virus infection,Designated/Approved,,"EPCLUSA is indicated for the treatment of adults and pediatric patients 6 years of age and older or weighing at least 17 kg with chronic hepatitis C virus (HCV) genotype 1, 2, 3, 4, 5, or 6 infection: without cirrhosis or with compensated cirrhosis; or with decompensated cirrhosis for use in combination with ribavirin.",03/19/2020,03/19/2027,"For the treatment of pediatric patients 6 years of age and older or weighing at least 17 kg with chronic hepatitis C virus (HCV) genotype 1, 2, 3, 4, 5, or 6 infection: without cirrhosis or with compensated cirrhosis; or with decompensated cirrhosis for use in combination with ribavirin.","Gilead Sciences, Inc.",333 Lakeside Drive,,Foster City,California,94404,United States,554816
Solriamfetol,Sunosi,08/20/2012,Treatment of narcolepsy,Designated/Approved,,SUNOSI is indicated to improve wakefulness in adult patients with excessive daytime sleepiness associated with narcolepsy,06/17/2019,06/17/2026,To improve wakefulness in adult patients with excessive daytime sleepiness associated with narcolepsy,"Axsome Malta, Ltd.","78 Mill Street, Zone 5, Central Business District",,Qormi,,CBD 5090,Malta,375112
Somatrem for injection,Protropin,12/09/85,"1. Long-term treatment of children who have growth failure due to a lack of adequate endogenous growth hormone secretion (prevalence 15,000) 2. Treatment of short stature associated with Turner's syndrome (prevalence 8000).",Designated/Approved,,,10/17/1985,10/17/1992,,"Genentech, Inc.",460 Point San Bruno Boulevard,,South San Francisco,California,94080,United States,10785
Somatropin,Norditropin,8/09/06,Treatment of short stature in patients with Noonan syndrome,Designated/Approved,,Treatment of short stature in patients with Noonan syndrome,05/31/2007,05/31/2014,,Novo Nordisk Inc.,100 College Road West,,Princeton,New Jersey,8540,United States,226606
Somatropin,Humatrope,5/08/90,Treatment of short stature associated with Turner syndrome.,Designated/Approved,,Treatment of short stature associated with Turner syndrome in patients whose epiphyses are not closed.,12/30/1996,12/30/2003,,Eli Lilly and Company,Lilly Corporate Center,,Indianapolis,Indiana,46285,United States,45090
Somatropin,Nutropin,3/06/87,For use in the long-term treatment of children who have growth failure due to a lack of adequate endogenous growth hormone secretion.,Designated/Approved,,,10/17/1985,10/17/1992,,"Genentech, Inc.",460 Point San Bruno Boulevard,,South San Francisco,California,94080,United States,12586
Somatropin,Genotropin,9/06/94,Treatment of adults with growth hormone deficiency.,Designated/Approved,,,10/31/1997,10/31/2004,,Pharmacia & Upjohn,7000 Portage Road,,Kalamazoo,Michigan,49001,United States,83594
Somatropin,Humatrope,12/15/2005,Treatment of short stature in pediatric patients with short stature homeobox-containing gene (SHOX) deficiency,Designated/Approved,,Treatment of short stature or growth failure in children with SHOX (short stature homeobox-containing gene) deficiency whose epiphyses are not closed,11/01/06,11/01/13,,Eli Lilly and Company,Lilly Corporate Center,,Indianapolis,Indiana,46285,United States,211205
Somatropin (r-DNA),Zorbtive,3/06/95,For use alone or in combination with glutamine in the treatment of short bowel syndrome.,Designated/Approved,,Treatment of short bowel syndrome in patients receiving specialized nutritional support,12/01/03,12/01/10,,"EMD Serono, Inc.",One Technology Place,,Rockland,Massachusetts,2370,United States,80394
Somatropin (rDNA origin),Nutropin Depot,10/28/1999,Long-term treatment of children who have growth failure due to a lack of adequate endogenous growth hormone secretion.,Designated/Approved,,Long-term treatment of growth failure due to a lack of adequate endogenous growth hormone secetion for once- or twice-a-month administration.,12/22/1999,,,"Genentech, Inc.",1 DNA Way,,South San Francisco,California,94080,United States,115098
Somatropin (rDNA origin),Saizen,3/06/87,Treatment of idiopathic or organic growth hormone deficiency in children with growth failure.,Designated/Approved,,Long term treatment of children with growth failure due to inadequate secretion of endogenous growth hormone.,10/08/96,,,"EMD Serono, Inc.",One Technology Place,,Rockland,Massachusetts,2370,United States,15486
Somatropin (rDNA origin) injection,Norditropin,7/10/87,1. Treatment of growth failure in children due to inadequate growth hormone secretion 2. Treatment of short stature associated with Turner's syndrome,Designated/Approved,,Long-term treatment of children who have growth failure due to inadequate secretion of endogenous growth hormone.,06/20/2000,,,Novo Nordisk Pharmaceuticals,100 Overlook Center,Suite 200,Princeton,New Jersey,8540,United States,13386
Somatropin for injection,Humatrope,6/12/86,For the long-term treatment of children who have growth failure due to inadequate secretion of normal endogenous growth hormone.,Designated/Approved,,,3/08/87,3/08/94,,Eli Lilly and Company,Lilly Corporate Center,,Indianapolis,Indiana,46285,United States,11285
Somatropin for injection,Nutropin,03/23/1989,Treatment of short stature associated with Turner's syndrome.,Designated/Approved,,Treatment of growth failure associated with Turner syndrome.,12/30/1996,12/30/2003,,"Genentech, Inc.",460 Point San Bruno Boulevard,,South San Francisco,California,94080,United States,12686
Somatropin for injection,Nutropin,11/18/1996,As replacement therapy for growth hormone deficiency in adults after epiphyseal closure.,Designated/Approved,,,12/15/1997,12/15/2004,,"Genentech, Inc.",460 Point San Bruno Boulevard,,South San Francisco,California,94080,United States,100396
Somatropin for injection,Serostim,11/15/1991,Treatment of AIDS-associated catabolism/weight loss.,Designated/Approved,,Treatment of AIDS wasting or cachexia.,08/23/1996,08/23/2003,,"EMD Serono, Inc.",One Technology Place,,Rockland,Massachusetts,2370,United States,60491
Somatropin for injection,Nutropin,8/04/89,Treatment of growth retardation associated with chronic renal failure.,Designated/Approved,,Treatment of children with growth failure associated with chronic renal insufficency.,11/17/1993,11/17/2000,,"Genentech, Inc.",460 Point San Bruno Boulevard,,South San Francisco,California,94080,United States,34989
somatropin [rDNA],Genotropin,12/27/2000,Treatment of growth failure in children who were born small for gestational age.,Designated/Approved,,For long-term treatment of growth failure in children born small for gestational age who fail to manifest catch-up growth by two years of age.,07/25/2001,07/25/2008,,Pharmacia and Upjohn Company,7000 Portage Road,,Kalamazoo,Michigan,49001,United States,135400
Somatropin [rDNA],Genotropin,7/06/99,Treatment of short stature in patients with Prader-Willi syndrome.,Designated/Approved,,Long-term treatment of pediatric patients who have growth failure due to Prader-Willi syndrome (PWS).,06/20/2000,06/20/2007,,Pharmacia & Upjohn,7000 Portage Rd.,0633-298-113,Kalamazoo,Michigan,49001,United States,124799
Sorafenib,Nexavar,10/08/04,Treatment of renal cell carcinoma.,Designated/Approved,,Treatment of patients with advanced renal cell carcinoma,12/20/2005,12/20/2012,,Bayer Pharmaceutical Corporation,400 Morgan Lane,,West Haven,Connecticut,6516,United States,185204
Sorafenib,Nexavar,04/20/2006,Treatment of hepatocellular carcinoma,Designated/Approved,,Treatment of unresectable hepatocellular carcinoma,11/16/2007,11/16/2014,,Bayer Pharmaceuticals Corporation,400 Morgan Lane,,West Haven,Connecticut,6516,United States,220206
sorafenib,Nexavar,12/12/11,"Treatment of medullary thyroid cancer, anaplastic thyroid cancer, and recurrent or metastatic follicular or papillary thyroid cancer",Designated/Approved,,"Treatment of patients with locally recurrent or metastatic, progressive, differentiated thyroid carcinoma (DCT) that is refractory to radioactive iodine treatment.",11/22/2013,11/22/2020,"Treatment of patients with locally recurrent or metastatic, progressive, differentiated thyroid carcinoma (DCT) that is refractory to radioactive iodine treatment.","Bayer HealthCare Pharmaceuticals, Inc.",100 Bayer Blvd.,PO Box 915,Whippany,New Jersey,7981,United States,320310
sotalol (IV),So-Aqueous,07/25/2008,"For ventricular tachycardia, ventricular fibrillation, or the maintenance of sinus rhythm in patients converted from atrial fibrillation or atrial flutter when oral administration is not possible.",Designated/Approved,,"For use as a substitute for oral sotalol in patients who are unable to take sotalol orally [oral sotalol is indicated for maintenance of normal sinus rhythm in patients with history of highly symptomatic atrial fibrillation /flutter, and for treatment of documented life-threatening ventricular arrhythmias]",7/02/09,7/02/16,,AltaThera Pharmaceuticals LLC,311 South Wacker Drive,Suite 2275A,Chicago,Illinois,60606,United States,247707
Sotalol HCl,Betapace,09/23/1988,1. Treatment of life-threatening ventricular tachyarrhythmias 2. Prevention of life treatening ventricular tachyarrhythmias,Designated/Approved,,Treatment of life-threatening ventricular tachyarrhythmias,10/30/1992,10/30/1999,,"Berlex Laboratories, Inc.",300 Fairfield Road,,Wayne,New Jersey,7470,United States,30088
sotorasib,Lumakras,5/01/19,Treatment of KRAS p.G12C-positive non-small cell lung cancer,Designated/Approved,,"Treatment of adult patients with KRAS G12C-mutated locally advanced or metastatic non-small cell lung cancer (NSCLC), as determined by an FDA-approved test, who have received at least one prior systemic therapy.",05/28/2021,05/28/2028,"Treatment of adult patients with KRAS G12C-mutated locally advanced or metastatic non-small cell lung cancer (NSCLC), as determined by an FDA-approved test, who have received at least one prior systemic therapy.",Amgen Inc.,1 Amgen Center Drive,Mail Stop 27-3-A,Thousand Oaks,California,91320,United States,653818
Sterile talc,Steritalc,12/08/97,Treatment of pneumothorax,Designated/Approved,,Steritalc is indicated in adults to decrease the recurrence of pneumothorax.,5/01/17,5/01/24,To decrease the recurrence of pneumothorax in adults.,Novatech SA,Z.I. Athelia III,,La Ciotat,CEDEX,,France,109297
Sterile talc,Steritalc,12/08/97,Treatment of malignant pleural effusion,Designated/Approved,,To decrease the recurrence of malignant pleural effusions in symptomatic patients following maximal drainage of the pleural effusion.,5/01/17,5/01/24,To decrease the recurrence of malignant pleural effusions in symptomatic patients following maximal drainage of the pleural effusion.,Novatech SA,Z.I. Athelia III,,La Ciotat,CEDEX,,France,106797
Sterile talc powder,Sclerosol Intrapleural Aerosol,09/18/1995,Treatment of malignant pleural effusion.,Designated/Approved,,Prevention of recurrence of malignant pleural effusions in symptomatic patients.,12/24/1997,12/24/2004,,"Sciarra Laboratories, Inc.",485-09 South Broadway,,Hicksville,New York,11801,United States,91595
stiripentol,Diacomit,10/30/2008,Treatment of Dravet syndrome,Designated/Approved,,DIACOMIT is indicated for the treatment of seizures associated with Dravet syndrome (DS) in patients 2 years of age and older taking clobazam.,08/20/2018,08/20/2025,DIACOMIT is indicated for the treatment of seizures associated with Dravet syndrome (DS) in patients 2 years of age and older taking clobazam.,Biocodex,"7, avenue Gallieni",94250,Gentilly,,,France,266108
Succimer,Chemet capsules,5/09/84,Treatment of lead poisoning in children.,Designated/Approved,,,01/30/1991,01/30/1998,,Bock Pharmacal Company,P.O. Box 419056,,Saint Louis,Missouri,63141,United States,1984
Sulfadiazine,,03/14/1994,For use in combination with pyrimethamine for the treatment of Toxoplasma gondii encephalitis in patients with and without AIDS.,Designated/Approved,,"Toxoplasmosis, as adjunctive with pyrimethamine",07/29/1994,07/29/2001,,"Eon Labs Manufacturing, Inc.",227-15 North Conduit Avenue,,Laurelton,New York,11413,United States,78093
sutimlimab-jome,Enjaymo,07/27/2016,Treatment of autoimmune hemolytic anemia,Designated/Approved,,To decrease the need for red blood cell (RBC) transfusion due to hemolysis in adults with cold agglutinin disease (CAD),2/04/22,,,Bioverativ USA Inc. (a fully owned subsidiary of Sanofi),951 Gateway Boulevard,,South San Francisco,California,94080,United States,506115
Synthetic human secretin,Chirostim,06/16/1999,For use in the diagnosis of gastrinoma associated with Zollinger-Ellison syndrome.,Designated/Approved,,"Stimulation of pancreatic secretions, including bicarbonate, to aid in the diagnosis of pancreatic exocrine dysfunction, stimulation of gastrin secretion to aid in the diagnosis of gastrinoma, and stimulation of pancreatic secretions to facilitate the identification of the ampulla of Vater and accessory papilla during endoscopic retrograde cholangiopancreatography",4/09/04,,,"ChiRhoClin, Inc.",15500 Gallaudet Ave.,,Silver Spring,Maryland,20905,United States,120798
Synthetic porcine secretin,Secreflo,06/18/1999,For use in the diagnosis of gastrinoma associated with Zollinger-Ellison syndrome.,Designated/Approved,,Use in secretin stimulation testing for stimulation of gastrin secretion to aid in the diagnosis of gastrinoma,4/04/02,4/04/09,,"ChiRhoClin, Inc.",15500 Gallaudet Ave.,,Silver Spring,Maryland,20905,United States,120498
Synthetic porcine secretin,Secreflo,3/07/00,"For use in conjunction with diagnostic, therapeutic, or combined diagnostic/therapeutic procedures for pancreatic disorders to increase pancreatic fluid secretion.",Designated/Approved,,"Use in secretin stimulation testing for stimulation of pancreatic secretions, including bicarbonate, to aid in the diagnosis of pancreatic exocrine dysfunction",4/04/02,4/04/09,,"ChiRhoClin, Inc.",15500 Gallaudet Ave.,,Silver Spring,Maryland,20905,United States,130299
Synthetic porcine secretin,Secreflo,06/18/1999,For use in the evaluation of exocrine pancreas function.,Designated/Approved,,For use in secretin stimulation testing for: Stimulation of pancreatic secretions to facilitate the identification of the ampulla of Vater and accessory papilla during endoscopic retrograde cholangio-pancreatography (ERCP),11/01/02,11/01/09,,"ChiRhoClin, Inc.",15500 Gallaudet Ave.,,Silver Spring,Maryland,20905,United States,120298
Tacrolimus,Prograf,10/04/16,"Prevention of rejection in kidney, liver or heart transplant in pediatric patients.",Designated/Approved,,"For the prophylaxis of organ rejection, in patients receiving allogeneic kidney transplant, liver transplants and heart transplant, in combination with other immunosuppressants.",05/24/2018,05/24/2025,"For the prophylaxis of organ rejection in pediatric patients receiving allogeneic kidney transplant and heart transplant, in combination with other immunosuppressants.","Astellas Pharma Global Development, Inc.",1 Astellas Way,,Northbrook,Illinois,60062,United States,534516
Tacrolimus,Prograf,10/04/16,"Prevention of rejection in kidney, liver or heart transplant in pediatric patients.",Designated/Approved,,"For the prophylaxis of organ rejection, in patients receiving allogeneic kidney transplant, liver transplants and heart transplant, in combination with other immunosuppressants.",05/24/2018,05/24/2025,"For the prophylaxis of organ rejection in pediatric patients receiving allogeneic kidney transplant and heart transplant, in combination with other immunosuppressants.","Astellas Pharma Global Development, Inc.",1 Astellas Way,,Northbrook,Illinois,60062,United States,534516
